id,product_name,product_price,quantity,product_photo
509,Mango Dasheri,145.00,1 kg,"https://cdn.zeptonow.com/production/tr:w-640,ar-500-500,pr-true,f-auto,q-80/inventory/product/63ece058-2d43-40f0-af31-f3f1c592d8e5-12fd8d0d-4410-4a36-94ce-10ca44e75277.jpeg"
510,Mango Totapuri Raw,88.00,1 kg (4 - 5 pcs),"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/143c1ec3-6467-4dfd-8dfd-da6b7b20a185.jpeg"
511,Pineapple,109.00,900 g - 1.2 kg,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/19885a90-eef8-4b09-b17d-3ecf3200caf7.jpeg"
512,Mango Raw,40.00,500 g (3 - 4 pcs),"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/2e4f9c1a-6b0d-45da-aaaf-36c331a688c3.jpeg"
513,Fresh Dates Yellow,51.00,250 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-500-500,pr-true,f-auto,q-80/inventory/product/eef5be9e-02b5-4b3d-ba42-2d84350f91db-/tmp/20230718-0902321.jpeg"
514,Tender Coconut Orange(King Coconut),110.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-894-533,pr-true,f-auto,q-80/cms/product_variant/0b1d4ec0-7a5b-40dc-84aa-464a927cbc33.jpg"
515,Ice Apple,147.00,200 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-1024-1024,pr-true,f-auto,q-80/cms/product_variant/79b2d5c5-8826-4b17-8144-8886fed3ea57.jpg"
516,Banana Robusta,34.00,2 Pc (250 - 400 gm),"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/1be31998-be67-487e-9dd7-c50efa60e598.jpeg"
517,Coconut Kalash 1 pc Combo,160.00,1 pc X 2,"https://cdn.zeptonow.com/production/tr:w-640,ar-600-600,pr-true,f-auto,q-80/cms/product_variant/b6175f17-348a-4459-b71d-a5d694f65f75.jpg"
518,Pluckk Papaya Cut 200 g Combo,74.00,200 g X 2,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/9e6eb2ef-cbf2-4c22-b21c-ff8546442b54.jpeg"
519,Nurturing Green - Natural Plant Immunity Booster | 250ml concentrate | Liquid Plant Booster,899.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/7df2a47f-45ad-4d58-9267-175b16a7def6.jpeg"
520,Bloom Anthurium Red Plant| Decor & Gift,269.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/e7bec668-9f91-4635-9957-5412b6495f7b.jpeg"
521,"Nurturing Green - Jade Plant in Self Watering Pot (Black, 11.5cm x 11cm) | Lucky Plant Gift",175.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/37b42411-7a1b-4e34-b29c-4c7582e6ffdf.jpeg"
522,Nurturing Green - Lucky Bamboo Plant (2-layer) in Glass Pot (10cm x 8cm) | Plants for Gifting,264.00,1 piece,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/763c189c-f748-4a00-ae44-1a9226d160de.jpeg"
523,Ugaoo Air Purifying Peace Lily Plant In Self Watering Pot,254.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-3850-3850,pr-true,f-auto,q-80/cms/product_variant/fa16aa04-772d-4e04-a8bd-d50c2919ad45.jpeg"
524,Bloom Air Purifying Areca Palm Plant,179.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/77184d2f-ffae-4c1d-8ca4-ad1aa320d813.jpeg"
525,"Nurturing Green - Syngonium Pink Plant in Self Watering Pot (Ivory, 8cm x 6.5cm) | Indoor Plants",134.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/ebe672a4-b046-4810-bcc0-1202ac336e8e.png"
526,Bloom ZZ Plant | Low Maintenance,179.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/8a74ede2-1f0c-4394-badc-8aa4ba12db17.jpeg"
527,Bloom Rubber Plant,179.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/0d06def6-e660-4502-aa37-f67d409e00af.jpeg"
